transaction_id,customer_id,timestamp,amount,transaction_type,location,device,merchant_category,is_suspicious
T000001,C1127,2025-11-03 11:42:12.988110,6143.33,credit,Mumbai,Mobile Banking,Restaurant,0
T000002,C1460,2025-09-04 03:49:12.988110,880.58,debit,Kolkata,Online,Restaurant,0
T000003,C0861,2025-10-07 22:52:12.988110,2231.12,credit,Chennai,Mobile Banking,Grocery,0
T000004,C1295,2025-11-29 18:27:12.988110,10731.68,credit,Kolkata,Online,Fuel,0
T000005,C1131,2025-10-30 05:24:12.988110,2754.47,credit,Mumbai,Online,Utilities,0
T000006,C1096,2025-12-24 19:20:12.988110,15546.48,credit,Hyderabad,Mobile Banking,Fuel,0
T000007,C1725,2025-10-18 18:14:12.988110,3350.1,debit,Mumbai,ATM,Travel,0
T000008,C1045,2025-08-14 20:50:12.988110,9894.15,debit,Kolkata,Mobile Banking,Shopping,0
T000009,C1639,2025-12-09 15:15:12.988110,180.1,debit,Chennai,Mobile Banking,Electronics,0
T000010,C0122,2026-01-10 01:15:12.988110,2847.25,debit,Kolkata,Online,Restaurant,1
T000011,C0467,2025-09-24 04:53:12.988110,6024.23,debit,Chennai,POS,Restaurant,0
T000012,C1239,2025-10-31 00:04:12.988110,9959.52,credit,Hyderabad,Online,Shopping,0
T000013,C0331,2026-01-13 05:54:12.988110,4703.34,debit,Bangalore,Online,Shopping,0
T000014,C1483,2026-01-13 16:22:12.988110,951.34,debit,Bangalore,Mobile Banking,Grocery,0
T000015,C0088,2025-12-11 10:40:12.988110,10848.76,debit,Chennai,POS,Travel,0
T000016,C1397,2025-09-04 07:51:12.988110,4276.13,credit,Delhi,Online,Grocery,0
T000017,C1124,2026-02-02 20:38:12.988110,571.55,credit,Bangalore,Mobile Banking,Travel,0
T000018,C0872,2025-10-10 20:31:12.988110,3116.68,debit,Bangalore,Mobile Banking,Grocery,0
T000019,C1688,2025-11-01 12:42:12.988110,6002.28,debit,Delhi,Online,Grocery,0
T000020,C0131,2025-11-15 07:50:12.988110,2998.43,debit,Kolkata,Online,Travel,0
T000021,C1686,2025-11-15 06:49:12.988110,10231.59,debit,Chennai,Mobile Banking,Grocery,0
T000022,C1333,2025-12-03 16:50:12.988110,2755.59,debit,Bangalore,ATM,Electronics,0
T000023,C0770,2026-01-17 05:04:12.988110,4378.78,debit,Kolkata,Mobile Banking,Grocery,0
T000024,C0344,2025-08-26 17:44:12.988110,1186.02,debit,Hyderabad,POS,Shopping,0
T000025,C1516,2025-08-29 13:04:12.988110,3594.24,debit,Delhi,POS,Shopping,0
T000026,C1438,2026-01-03 11:47:12.988110,1260.66,debit,Hyderabad,ATM,Utilities,0
T000027,C0806,2025-11-28 09:02:12.988110,1275.67,credit,Kolkata,POS,Restaurant,0
T000028,C0386,2026-02-01 07:15:12.988110,1641.84,debit,Kolkata,POS,Utilities,0
T000029,C1216,2025-08-29 22:01:12.988110,226.03,credit,Delhi,Online,Grocery,0
T000030,C0956,2025-12-26 13:38:12.988110,891.51,credit,Bangalore,ATM,Utilities,0
T000031,C0277,2025-09-02 22:20:12.988110,2761.37,debit,Kolkata,ATM,Fuel,0
T000032,C1185,2025-11-04 12:05:12.988110,702.41,debit,Mumbai,POS,Fuel,0
T000033,C0460,2026-01-06 04:25:12.988110,715.8,credit,Chennai,POS,Utilities,0
